Name,Team,PS,GP,MinpG,FG%,FT%,3M,3PT%,3PTpG,PpG,ORpG,DRpG,RpG,ApG,SpG,BpG,TOpG,PFpG,Tech,+/-
"mozgov, timofey",cle,C,76,17.5,0.565,0.716,1,0.143,0,6.3,1.4,3,4.4,0.4,0.3,0.8,0.9,2.1,0,2
"mudiay, emmanuel",den,PG,68,30.4,0.364,0.67,74,0.319,1.1,12.8,0.5,2.9,3.4,5.5,1,0.5,3.2,2.1,0,-118
"muhammad, shabazz",min,SF,82,20.5,0.465,0.764,44,0.289,0.5,10.5,1.2,2,3.3,0.6,0.3,0.1,0.9,1.1,0,-273
"munford, xavier",mem,PG,14,17.6,0.416,0.5,9,0.391,0.6,5.7,0.2,2,2.2,1.6,0.9,0.2,1.1,1.8,0,-25
"muscala, mike",atl,PF,60,9.5,0.5,0.795,12,0.308,0.2,3.3,0.6,1.3,2,0.6,0.2,0.5,0.5,1.2,0,-33
"nance, larryjr",lal,PF,63,20.1,0.527,0.681,1,0.1,0,5.5,1.6,3.3,5,0.7,0.9,0.4,0.7,2,0,-96
"napier, shabazz",orl,PG,55,10.9,0.338,0.733,34,0.327,0.6,3.7,0.2,0.8,1,1.8,0.4,0,0.8,0.7,0,-53
"neal, gary",was,PG,40,20.2,0.466,0.855,41,0.414,1,9.8,0.3,1.8,2.1,1.2,0.5,0,0.8,1.4,0,-162
"nelson, jameer",den,PG,39,26.6,0.368,0.857,43,0.299,1.1,7.7,0.5,2.5,2.9,4.9,0.6,0.1,1.7,2.6,1,-133
"neto, raul",uta,PG,81,18.5,0.431,0.743,64,0.395,0.8,5.9,0.2,1.3,1.5,2.1,0.8,0,1.3,1.5,0,80
"nicholson, andrew",orl,PF,56,14.7,0.472,0.785,41,0.363,0.7,6.9,0.6,3,3.6,0.4,0.2,0.4,0.7,1.2,0,34
"noah, joakim",chi,C,29,21.9,0.383,0.489,0,0,0,4.3,3,5.8,8.8,3.8,0.6,1,1.8,2.7,1,-33
"noel, nerlens",phi,C,67,29.3,0.521,0.59,1,0.5,0,11.1,2.3,5.8,8.1,1.8,1.8,1.5,2.4,2.9,1,-458
"nogueira, lucas",tor,C,29,7.8,0.636,0.533,1,0.333,0,2.2,0.6,1,1.6,0.2,0.4,0.4,0.4,1,0,24
"novak, steve",mil,SF,10,4.3,0.444,1,7,0.467,0.7,2.4,0,0.5,0.5,0,0,0,0.1,0.3,0,7
"nowitzki, dirk",dal,PF,75,31.5,0.448,0.893,126,0.368,1.7,18.3,0.7,5.8,6.5,1.8,0.7,0.7,1.1,2.1,3,260
"nurkic, jusuf",den,C,32,17.1,0.417,0.616,0,0,0,8.2,2,3.4,5.4,1.3,0.8,1.4,1.7,2.8,2,-7
"o'brien, j.j.",uta,SF,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
"o'bryant, johnny",mil,PF,66,13,0.411,0.675,1,1,0,3,1,1.7,2.7,0.5,0.3,0.1,0.5,1.5,0,-130
"o'quinn, kyle",nyk,PF,65,11.7,0.476,0.767,5,0.227,0.1,4.8,1.2,2.7,3.8,1.1,0.3,0.8,0.9,1.6,1,-63
"okafor, jahlil",phi,C,53,30.1,0.508,0.686,1,0.167,0,17.5,2.3,4.7,7,1.2,0.4,1.2,2.3,2.6,0,-498
"oladipo, victor",orl,SG,72,33.1,0.439,0.83,98,0.35,1.4,16,0.7,4.2,4.8,3.9,1.6,0.8,2.1,2.4,1,-23
"olynyk, kelly",bos,C,69,20.2,0.455,0.75,85,0.405,1.2,10,1,3,4.1,1.5,0.8,0.5,1.1,2.4,1,225
"oubre, kelly",was,PF,63,10.7,0.427,0.633,25,0.316,0.4,3.7,0.4,1.7,2.1,0.2,0.3,0.1,0.5,1.6,0,-44
"pachulia, zaza",dal,C,76,26.4,0.466,0.768,0,0,0,8.6,3.3,6.2,9.4,1.7,0.8,0.3,1.6,2.4,7,3
"papanikolaou, kostas",den,SF,26,11.3,0.364,0.643,10,0.313,0.4,2.6,0.3,1.2,1.5,0.6,0.5,0.2,0.8,0.9,0,-8
"parker, jabari",mil,SF,76,31.7,0.493,0.768,9,0.257,0.1,14.1,1.6,3.6,5.2,1.7,0.9,0.4,1.5,2,0,-185
"parker, tony",san,PG,72,27.5,0.493,0.76,27,0.422,0.4,11.9,0.2,2.2,2.5,5.3,0.8,0.2,1.8,1.6,1,414
"parsons, chandler",dal,SF,61,29.5,0.492,0.684,104,0.416,1.7,13.7,0.5,4.2,4.7,2.8,0.8,0.3,1.6,1.9,1,-1
"patterson, lamar",atl,SG,35,11.4,0.35,0.727,12,0.245,0.3,2.4,0.1,1.3,1.4,1.1,0.3,0.1,0.7,1.3,0,32
"patterson, patrick",tor,PF,79,25.5,0.414,0.853,106,0.362,1.3,6.9,1,3.3,4.3,1.2,0.7,0.4,0.8,1.6,1,397
"paul, chris",lac,PG,74,32.8,0.462,0.896,122,0.371,1.6,19.5,0.5,3.7,4.2,10,2,0.2,2.6,2.5,7,554
"payne, adreian",min,PF,52,9.3,0.366,0.654,9,0.281,0.2,2.5,0.4,1.8,2.2,0.6,0.3,0.2,0.7,1.5,1,-122
"payne, cameron",okl,PG,57,12.3,0.41,0.792,36,0.324,0.6,5,0.2,1.3,1.5,1.9,0.6,0.1,0.8,1.4,0,-29
"payton, elfrid",orl,PG,73,29.4,0.436,0.589,30,0.326,0.4,10.7,1.1,2.5,3.6,6.4,1.2,0.3,2.4,2.2,2,-69
"pekovic, nikola",min,C,12,13,0.38,0.8,0,0,0,4.5,0.6,1.2,1.8,0.9,0.1,0,0.8,1.8,0,-63
"perkins, kendrick",nor,C,38,14.3,0.533,0.44,0,0,0,2.4,0.7,2.7,3.4,0.8,0.3,0.3,1.1,1.7,1,-82
"pierce, paul",lac,SF,68,18.2,0.363,0.818,75,0.31,1.1,6.1,0.2,2.6,2.7,1,0.5,0.3,0.9,1.9,1,57
"pleiss, tibor",uta,C,12,6.9,0.44,1,0,0,0,2,0.5,0.8,1.3,0.2,0.1,0.2,0.7,1.6,0,-15
"plumlee, mason",por,PF,82,25.5,0.516,0.642,0,0,0,9.1,2.5,5.2,7.7,2.8,0.8,1,1.9,3.1,1,31
"plumlee, miles",mil,C,61,14.2,0.601,0.576,0,0,0,5.1,1.6,2.2,3.8,0.3,0.3,0.8,0.7,1.2,1,-95
"porter, otto",was,SF,75,30.3,0.472,0.754,98,0.367,1.3,11.6,1.3,3.9,5.2,1.6,1.4,0.4,0.9,2.2,0,46
"portis, bobby",chi,PF,62,17.8,0.428,0.727,16,0.308,0.3,7,2,3.5,5.4,0.8,0.4,0.4,0.9,1.6,1,-178
"porzingis, kristaps",nyk,PF,72,28.5,0.421,0.838,81,0.333,1.1,14.3,1.8,5.5,7.3,1.3,0.7,1.9,1.7,2.8,1,10
"powell, dwight",dal,PF,68,14.6,0.493,0.739,2,0.125,0,5.9,1.2,2.8,4,0.6,0.5,0.4,0.6,1.7,0,-81
"powell, norman",tor,SG,49,14.9,0.424,0.811,36,0.409,0.7,5.6,0.3,1.9,2.3,1,0.6,0.2,0.7,1.2,0,67
"pressey, phil",pho,SG,22,12.7,0.39,0.52,4,0.235,0.2,3.5,0.1,1.2,1.3,3.3,0.8,0.2,1.5,1.3,0,-41
"price, ronnie",pho,PG,62,19.5,0.384,0.756,68,0.349,1.1,5.3,0.4,1.2,1.6,2.4,1.2,0.2,1.1,2.6,0,-72
"prigioni, pablo",lac,PG,59,13.8,0.374,0.875,28,0.295,0.5,2.5,0.6,1.3,1.9,2.2,0.9,0,0.8,1.4,0,-57
"prince, tayshaun",min,SF,77,19,0.445,0.684,4,0.174,0.1,2.9,0.4,1.5,1.9,0.9,0.5,0.2,0.4,0.8,0,-124
"randle, julius",lal,PF,81,28.2,0.429,0.715,10,0.278,0.1,11.3,2.1,8.1,10.2,1.8,0.7,0.4,1.8,3,0,-681
"randolph, zach",mem,PF,68,29.7,0.475,0.796,6,0.231,0.1,15.3,2.6,5.1,7.8,2.1,0.6,0.2,1.5,2.1,0,-16
"redick, j.j.",lac,SG,75,28,0.48,0.888,200,0.476,2.7,16.3,0.1,1.7,1.9,1.4,0.6,0.1,1.1,1.8,1,511
"reed, willie",bro,PF,39,10.9,0.571,0.545,0,0,0,4.7,1.3,1.9,3.1,0.3,0.2,0.8,0.4,1.2,0,-81
"richardson, josh",mia,SG,52,21.3,0.452,0.667,53,0.461,1,6.6,0.4,1.7,2.1,1.4,0.7,0.5,0.7,2.1,0,36
"rivers, austin",lac,SG,67,21.9,0.438,0.681,62,0.335,0.9,8.9,0.3,1.6,1.9,1.5,0.7,0.1,0.9,2,2,-165
"roberson, andre",okl,SG,70,22.2,0.496,0.611,32,0.311,0.5,4.8,1.1,2.5,3.6,0.7,0.8,0.6,0.5,1.9,1,261
"roberts, brian",por,PG,51,9.3,0.448,0.894,15,0.357,0.3,4,0.1,0.7,0.8,1.1,0.2,0,0.5,0.7,0,-64
"robinson, glenn",ind,SF,45,11.4,0.43,0.692,14,0.378,0.3,3.8,0.3,1.2,1.5,0.6,0.4,0.2,0.4,0.5,0,-37
"robinson, nate",nor,PG,2,11.5,0,0,0,0,0,0,0,0,0,2,0.5,0,0,2.5,0,-20
"robinson, thomas",bro,PF,71,12.9,0.447,0.431,0,0,0,4.3,1.9,3.1,5.1,0.6,0.5,0.5,1,1.6,1,-274
"rondo, rajon",sac,PG,72,35.2,0.454,0.58,62,0.365,0.9,11.9,1.1,5,6.1,11.6,2,0.1,3.9,2.4,3,-148
"rose, derrick",chi,PG,66,31.7,0.427,0.793,44,0.293,0.7,16.4,0.7,2.7,3.4,4.7,0.7,0.2,2.7,1.3,4,-166
"ross, terrence",tor,SF,73,24,0.431,0.79,131,0.388,1.8,9.9,0.3,2.2,2.5,0.8,0.7,0.3,0.6,1.6,0,242
"rozier, terry",bos,PG,39,7.9,0.274,0.8,6,0.222,0.2,1.8,0.6,1,1.6,0.9,0.2,0,0.5,0.6,0,-41
"rubio, ricky",min,PG,76,30.6,0.374,0.847,62,0.326,0.8,10.1,0.5,3.8,4.3,8.6,2.1,0.1,2.6,2.6,0,19
"rudez, damjan",min,SF,33,8.4,0.403,1,17,0.34,0.5,2.3,0.2,0.5,0.6,0.3,0.1,0,0.4,1,0,-24
"rush, brandon",gsw,SG,72,14.6,0.427,0.643,65,0.414,0.9,4.2,0.3,2.2,2.5,0.8,0.3,0.3,0.5,0.8,0,-48
"russell, d'angelo",lal,PG,80,28.2,0.41,0.737,130,0.354,1.6,13.2,0.6,2.8,3.4,3.3,1.2,0.2,2.5,1.8,1,-547
"sacre, robert",lal,C,25,12.8,0.413,0.658,0,0,0,3.5,1.3,1.6,2.9,0.6,0.2,0.4,0.5,1.7,0,-33
"sampson, jakarr",den,SG,73,16,0.44,0.656,14,0.222,0.2,5.1,0.6,2,2.6,0.6,0.3,0.5,1,1.9,2,-238
"schroder, dennis",atl,PG,80,20.2,0.421,0.791,77,0.322,1,11,0.3,2.3,2.6,4.4,0.9,0.1,2.3,1.7,0,226
"scola, luis",tor,PF,76,21.5,0.45,0.726,65,0.404,0.9,8.7,1.1,3.6,4.7,0.9,0.6,0.4,0.9,2.3,0,-24
"scott, mike",atl,PF,75,15.4,0.468,0.794,62,0.392,0.8,6.2,0.7,2,2.7,1,0.3,0.2,0.6,1.4,0,109
"sefolosha, thabo",atl,SG,75,23.3,0.503,0.626,42,0.336,0.6,6.4,0.7,3.7,4.4,1.4,1.1,0.5,0.9,1.5,0,-23
"seraphin, kevin",nyk,PF,48,11,0.41,0.826,0,0,0,3.9,0.6,2,2.6,1,0.2,0.8,0.9,1.4,0,-87
"sessions, ramon",was,PG,82,20.3,0.473,0.756,36,0.324,0.4,9.9,0.3,2.2,2.5,2.9,0.6,0.1,1.4,1.2,0,-53
"shumpert, iman",cle,SG,54,24.4,0.374,0.784,43,0.295,0.8,5.8,0.6,3.2,3.8,1.7,1,0.4,1,2.2,1,182
"simmons, jonathon",san,SG,55,14.7,0.506,0.75,18,0.383,0.3,6,0.3,1.4,1.7,1.1,0.4,0.1,1,1.9,0,104
"sims, henry",bro,C,14,18.8,0.429,0.833,0,0,0,6.5,1.5,3.6,5.1,0.6,0.6,0.9,0.9,2.6,0,-95
"singler, kyle",okl,SF,68,14.5,0.389,0.659,30,0.309,0.4,3.4,0.7,1.3,2.1,0.4,0.4,0.1,0.5,1.8,0,-22
"sloan, donald",bro,PG,61,21.6,0.44,0.75,38,0.384,0.6,7,0.3,2.6,2.8,4.4,0.5,0.1,1.3,1.2,0,-113
"smart, marcus",bos,PG,61,27.3,0.348,0.777,61,0.253,1,9.1,1.2,2.9,4.2,3,1.5,0.3,1.3,3,2,78
"smith, greg",min,PF,18,10.8,0.563,0.412,0,0,0,2.4,0.7,1.7,2.3,0.3,0.2,0.1,0.4,1.6,0,-81
"smith, ish",phi,PG,77,29.1,0.411,0.693,56,0.329,0.7,12.6,0.6,3.4,4,6.5,1.1,0.3,2.3,1.7,0,-341
"smith, j.r.",cle,SG,77,30.7,0.416,0.634,204,0.4,2.6,12.4,0.6,2.3,2.8,1.7,1.1,0.3,0.8,2.6,3,315
"smith, jason",orl,PF,76,15.5,0.485,0.806,4,0.25,0.1,7.2,0.7,2.2,2.9,0.8,0.4,0.9,0.8,2.1,1,-37
"smith, josh",hou,SF,55,16,0.364,0.552,41,0.287,0.7,6,0.9,2.6,3.5,1.6,0.6,0.9,1.4,2.1,1,-84
"smith, russ",mem,PG,15,4.3,0.318,0.615,1,0.2,0.1,1.5,0.1,0.5,0.6,0.7,0.3,0.1,0.5,0.3,0,-41
"snell, tony",chi,SF,64,20.3,0.372,0.909,56,0.361,0.9,5.3,0.3,2.8,3.1,1,0.3,0.3,0.8,1.6,0,96
"speights, marreese",gsw,C,72,11.6,0.432,0.825,24,0.387,0.3,7.1,1.1,2.3,3.3,0.8,0.3,0.5,0.9,1.6,2,12
"splitter, tiago",atl,PF,36,16.1,0.523,0.813,0,0,0,5.6,1.3,2.1,3.4,0.8,0.6,0.3,0.7,2,0,102
"stauskas, nik",phi,SG,73,24.6,0.387,0.771,106,0.327,1.5,8.5,0.3,2.2,2.5,1.9,0.6,0.3,1.3,1.5,0,-389
"stephenson, lance",mem,SF,69,19.9,0.481,0.784,30,0.385,0.4,8.3,0.6,2.7,3.2,1.9,0.6,0.1,1.4,2,2,-64
"stepheson, alex",mem,SF,8,9,0.333,0.333,0,0,0,2.8,2.4,1.1,3.5,0.3,0.1,0.6,0,1.5,0,-2
"stokes, jarnell",nor,C,7,2.6,0.6,0.5,0,0,0,1,0.1,0.4,0.6,0.1,0.1,0,0,0.1,0,9
"stoudemire, amare",mia,PF,52,14.7,0.566,0.746,0,0,0,5.8,1.3,3,4.3,0.5,0.4,0.8,0.9,1.8,2,12
"stuckey, rodney",ind,PG,58,22,0.412,0.829,20,0.241,0.3,8.9,0.3,2.4,2.7,2.4,0.7,0.1,1.3,1.3,1,9
"sullinger, jared",bos,PF,81,23.7,0.435,0.64,29,0.279,0.4,10.3,2.4,5.9,8.3,2.3,0.9,0.6,1.3,2.6,2,202
"tavares, walter",atl,C,11,6.3,0.579,0.375,0,0,0,2.3,0.6,1.3,1.9,0.3,0.1,0.5,0.5,0.7,0,-8
"teague, jeff",atl,PG,79,28.5,0.44,0.837,110,0.401,1.4,15.7,0.4,2.3,2.7,5.9,1.2,0.3,2.8,2.1,0,71
"teletovic, mirza",pho,PF,79,21.3,0.427,0.774,181,0.393,2.3,12.2,0.7,3.1,3.8,1.1,0.4,0.3,1.1,2,1,-168
"temple, garrett",was,SG,80,24.4,0.398,0.728,89,0.346,1.1,7.3,0.5,2.2,2.7,1.8,0.9,0.2,0.8,2.4,0,-37
"terry, jason",hou,SG,72,17.5,0.402,0.818,93,0.356,1.3,5.9,0.2,0.9,1.1,1.4,0.7,0.1,0.7,1.3,1,35
"thomas, isaiah",bos,PG,82,32.3,0.428,0.871,167,0.359,2,22.2,0.6,2.4,3,6.2,1.1,0.1,2.7,2,9,292
"thomas, lance",nyk,SF,59,22.4,0.442,0.857,44,0.404,0.7,8.2,0.6,1.6,2.2,0.9,0.4,0.1,1,1.8,0,-40
"thompson, hollis",phi,SG,77,28,0.396,0.719,149,0.379,1.9,9.8,0.7,2.8,3.6,1.3,0.5,0.3,1,2.4,0,-363
"thompson, jason",tor,C,47,10,0.481,0.704,5,0.333,0.1,3.1,0.7,2.1,2.8,0.6,0.3,0.4,0.3,1.7,1,-6
"thompson, klay",gsw,SG,80,33.3,0.47,0.873,276,0.426,3.5,22.1,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,0,815
"thompson, tristan",cle,C,82,27.7,0.588,0.616,0,0,0,7.8,3.3,5.7,9,0.8,0.5,0.6,0.7,2.5,1,361
"thornton, marcus",was,SG,61,18.2,0.399,0.848,91,0.336,1.5,9.7,0.6,1.8,2.4,1.4,0.8,0.1,0.8,1.5,0,40
"tolliver, anthony",det,PF,72,18.6,0.384,0.617,98,0.36,1.4,5.3,0.5,2.6,3.2,0.7,0.4,0.2,0.4,1.2,0,9
"toupane, axel",den,SG,21,14.6,0.357,0.765,13,0.325,0.6,3.6,0.4,1.1,1.5,0.7,0.3,0.3,0.3,1.9,0,-17
"towns, karl-anthony",min,C,82,32,0.543,0.811,30,0.341,0.4,18.3,2.8,7.7,10.4,2,0.7,1.7,2.2,3,2,-130
"tucker, p.j.",pho,SF,82,31,0.411,0.746,68,0.33,0.8,8,2,4.2,6.2,2.2,1.3,0.2,1.4,2.5,4,-354
"turner, evan",bos,SG,81,28,0.456,0.827,20,0.241,0.2,10.5,0.6,4.3,4.9,4.4,1,0.3,2.1,1.7,2,89
"turner, myles",ind,PF,60,22.8,0.498,0.727,3,0.231,0.1,10.3,1.1,4.4,5.5,0.7,0.4,1.4,1.1,2.6,0,-69
"udrih, beno",mia,PG,44,16.1,0.437,0.9,15,0.341,0.3,4.7,0.2,1.5,1.6,2.6,0.3,0,1.2,1.2,0,-34
"valanciunas, jonas",tor,C,60,26,0.565,0.761,0,0,0,12.8,3.1,6.1,9.1,0.7,0.4,1.3,1.4,2.6,3,146
"varejao, anderson",gsw,C,53,9.3,0.427,0.64,0,0,0,2.6,0.7,2,2.7,0.7,0.3,0.2,0.4,1.3,1,21
"vasquez, greivis",mil,PG,23,20,0.321,0.846,17,0.236,0.7,5.5,0.2,1.8,2,4,0.4,0,1.7,1.8,0,-94
"vaughn, rashad",mil,SG,70,14.3,0.308,0.8,44,0.299,0.6,3.1,0.2,1.1,1.3,0.5,0.4,0.2,0.4,1,0,-139
"villanueva, charlie",dal,PF,62,10.8,0.381,0.917,47,0.272,0.8,5.1,0.4,2.1,2.5,0.4,0.3,0.2,0.5,1.1,2,-88
"vonleh, noah",por,PF,78,15,0.419,0.745,11,0.234,0.1,3.6,1.2,2.7,3.9,0.4,0.3,0.3,0.6,1.9,0,-60
"vucevic, nikola",orl,C,65,31.4,0.51,0.753,2,0.222,0,18.2,2.7,6.1,8.8,2.8,0.8,1.1,1.9,2.7,2,-45
"vujacic, sasha",nyk,SG,61,14.9,0.383,0.821,52,0.364,0.9,4.9,0.4,2,2.4,1.4,0.6,0.1,0.7,1.4,1,-42
"wade, dwyane",mia,SG,74,30.5,0.456,0.793,7,0.159,0.1,19,1.1,3,4.1,4.6,1.1,0.6,2.7,1.6,3,-6
"waiters, dion",okl,SG,78,27.7,0.4,0.713,86,0.357,1.1,9.8,0.5,2.1,2.6,2,1,0.2,1.5,1.8,4,212
"walker, kemba",cha,PG,81,35.6,0.426,0.847,182,0.371,2.2,20.9,0.7,3.7,4.4,5.2,1.6,0.5,2.1,1.4,5,238
"wall, john",was,PG,77,36.1,0.424,0.791,115,0.352,1.5,19.9,0.5,4.4,4.9,10.3,1.9,0.8,4.1,2.1,7,100
"warren, t.j.",pho,SF,47,22.7,0.501,0.703,28,0.4,0.6,11,1.2,1.9,3.1,0.9,0.8,0.3,0.7,2,0,-114
"watson, c.j.",orl,PG,33,19.8,0.343,0.872,14,0.292,0.4,4.3,0.3,1.7,2,2.7,0.6,0.2,0.8,1.5,0,-51
"weber, briante",mia,PG,7,24.3,0.359,0.75,0,0,0,4.4,1.1,2.4,3.6,3,1.3,0.4,1.3,1.7,0,-67
"weems, sonny",phi,SG,43,11.7,0.378,0.533,15,0.357,0.3,2.5,0.2,1.1,1.2,1.1,0.2,0,1,1.1,0,-98
"west, david",san,PF,78,18.1,0.545,0.788,3,0.429,0,7.1,0.9,3,4,1.8,0.6,0.7,0.9,1.8,2,334
"westbrook, russell",okl,PG,80,34.4,0.454,0.812,101,0.296,1.3,23.5,1.8,6,7.9,10.5,2,0.3,4.3,2.5,6,633
"whiteside, hassan",mia,C,73,29.1,0.605,0.65,0,0,0,14.2,3.3,8.6,11.8,0.4,0.6,3.7,1.9,2.8,2,97
"whittington, shayne",ind,PF,7,5.9,0.455,0.5,0,0,0,1.6,0.7,1,1.7,0.4,0.1,0.1,0.7,1,0,-6
"wiggins, andrew",min,SF,81,35.1,0.459,0.761,57,0.3,0.7,20.7,1.3,2.3,3.6,2,1,0.6,2.2,2,1,-66
"wilcox, c.j.",lac,SG,23,7.3,0.394,0.75,9,0.391,0.4,3,0,0.5,0.5,0.4,0.4,0.1,0.1,0.7,0,33
"williams, alan",pho,C,10,6.7,0.417,0.643,0,0,0,2.9,1.4,2.4,3.8,0.5,0.4,0.5,0.6,1.5,0,1
"williams, deron",dal,PG,65,32.4,0.414,0.869,97,0.344,1.5,14.1,0.3,2.6,2.9,5.8,0.9,0.2,2.3,2.4,0,5
"williams, derrick",nyk,PF,80,18,0.45,0.758,44,0.293,0.6,9.3,0.6,3.1,3.7,0.9,0.4,0.1,0.8,0.9,0,-204
"williams, elliot",mem,SG,5,9.2,0.2,0.75,1,0.25,0.2,1.6,0.2,0.6,0.8,0.8,0.2,0,0.2,0.4,0,-3
"williams, louis",lal,SG,67,28.5,0.407,0.83,110,0.343,1.6,15.3,0.5,2.1,2.5,2.5,0.9,0.3,1.6,1.6,1,-399
"williams, marvin",cha,PF,81,28.9,0.452,0.833,152,0.401,1.9,11.7,1.6,4.9,6.4,1.4,0.7,1,0.8,1.6,0,248
"williams, mo",cle,PG,41,18.2,0.437,0.905,36,0.353,0.9,8.2,0.1,1.6,1.8,2.4,0.3,0.1,1.4,1.5,1,-58
"winslow, justise",mia,SF,78,28.7,0.423,0.684,32,0.276,0.4,6.5,1,4.1,5.2,1.5,0.9,0.3,1.2,2.4,0,110
"withey, jeff",uta,C,51,12.8,0.54,0.729,0,0,0,4.3,1.1,2.3,3.4,0.4,0.4,1,0.5,1.5,0,57
"wood, christian",phi,PF,17,8.6,0.415,0.619,4,0.364,0.2,3.6,0.8,1.5,2.2,0.2,0.3,0.4,0.1,0.6,0,-50
"wright, brandan",mem,PF,12,17.8,0.673,0.542,0,0,0,6.9,1.2,2.4,3.6,0.5,0.4,1.3,0.8,1.8,0,-57
"wright, delon",tor,PG,27,8.6,0.444,0.743,5,0.385,0.2,3.8,0.3,1.1,1.4,1.1,0.3,0.1,0.6,0.3,0,15
"wroten, tony",phi,SG,8,18.1,0.338,0.541,3,0.176,0.4,8.4,0.3,2.4,2.6,2.5,0.4,0,3.6,1.4,0,-68
"young, james",bos,SG,29,6.9,0.306,0.25,6,0.231,0.2,1,0.1,0.8,0.9,0.3,0.2,0,0.2,0.6,0,-27
"young, joseph",ind,PG,41,9.4,0.365,0.8,10,0.217,0.2,3.8,0.1,1.1,1.2,1.6,0.4,0,0.8,0.7,0,-33
"young, nick",lal,SF,54,19.2,0.339,0.829,77,0.325,1.4,7.3,0.3,1.5,1.8,0.6,0.4,0.1,0.6,0.9,1,-201
"young, thaddeus",bro,SF,73,33.1,0.514,0.644,7,0.233,0.1,15.1,2.4,6.6,9.1,1.8,1.5,0.5,1.9,2.5,1,-228
"zeller, cody",cha,PF,73,24.3,0.529,0.754,1,0.1,0,8.7,1.9,4.4,6.2,1,0.8,0.9,0.9,2.8,0,161
"zeller, tyler",bos,C,60,11.9,0.476,0.815,0,0,0,6.1,1,1.9,3,0.5,0.2,0.4,0.8,1.6,0,-62
